draw_inflation,goal_profile_weight,decision_threshold,decision_max_win_prob_gap,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy
1.5,0.5,0.3,0.15,7952.0,0.9383774522684568,0.5372449960577456,0.5979627766599598,0.5979627766599598,392.0,773.0,1837.0,0.591297786720322,0.12574850299401197,0.2988357050452781,0.7311529026982829
1.2,0.35,0.28,0.12,7952.0,0.9392766833105763,0.5422615160171017,0.6004778672032193,0.6004778672032193,4.0,596.0,1837.0,0.5941901408450704,0.10016330974414807,0.3087248322147651,0.7426001635322976
1.2,0.35,0.28,0.15,7952.0,0.9392766833105763,0.5422615160171017,0.6004778672032193,0.6004778672032193,4.0,723.0,1837.0,0.5924295774647887,0.12084921066956995,0.3070539419087137,0.734096484055601
1.2,0.35,0.3,0.12,7952.0,0.9392766833105763,0.5422615160171017,0.6004778672032193,0.6004778672032193,4.0,496.0,1837.0,0.5951961770623743,0.08437670114316821,0.3125,0.7486508585445626
1.2,0.35,0.3,0.15,7952.0,0.9392766833105763,0.5422615160171017,0.6004778672032193,0.6004778672032193,4.0,593.0,1837.0,0.5946931589537223,0.10125204137180185,0.3136593591905565,0.7429272281275552
1.35,0.5,0.28,0.12,7952.0,0.9410532199002736,0.5402009648293319,0.5992203219315896,0.5992203219315896,151.0,602.0,1837.0,0.5936871227364185,0.0985302123026674,0.30066445182724255,0.7424366312346689
1.35,0.5,0.28,0.15,7952.0,0.9410532199002736,0.5402009648293319,0.5992203219315896,0.5992203219315896,151.0,732.0,1837.0,0.591172032193159,0.1175830157866086,0.29508196721311475,0.7334423548650858
1.35,0.5,0.3,0.12,7952.0,0.9410532199002736,0.5402009648293319,0.5992203219315896,0.5992203219315896,151.0,561.0,1837.0,0.5948189134808853,0.09363091997822537,0.3065953654188948,0.745380212591987
1.35,0.5,0.3,0.15,7952.0,0.9410532199002736,0.5402009648293319,0.5992203219315896,0.5992203219315896,151.0,677.0,1837.0,0.5926810865191147,0.1110506260206859,0.30132939438700146,0.7373671300081767
1.2,0.5,0.28,0.12,7952.0,0.9460010423705079,0.5443766450877257,0.6012323943661971,0.6012323943661971,12.0,538.0,1837.0,0.5944416498993964,0.08927599346761024,0.3048327137546468,0.7461978740801308
1.2,0.5,0.28,0.15,7952.0,0.9460010423705079,0.5443766450877257,0.6012323943661971,0.6012323943661971,12.0,639.0,1837.0,0.5943158953722334,0.10778443113772455,0.30985915492957744,0.7404742436631234
1.2,0.5,0.3,0.12,7952.0,0.9460010423705079,0.5443766450877257,0.6012323943661971,0.6012323943661971,12.0,413.0,1837.0,0.5948189134808853,0.06804572672836146,0.3026634382566586,0.7530662305805397
1.2,0.5,0.3,0.15,7952.0,0.9460010423705079,0.5443766450877257,0.6012323943661971,0.6012323943661971,12.0,484.0,1837.0,0.5954476861167002,0.08328796951551443,0.31611570247933884,0.7493049877350777
