feature_profile,max_iter,learning_rate,max_leaf_nodes,l2_regularization,class_weight,draw_probability_multiplier,calibration_temperature,validation_accuracy,pooled_validation_accuracy,validation_log_loss,selected
baseline_no_market,120,0.03,7,1.0,none,1.1,1.3,0.5740905010259918,0.6166868198307134,0.9292203587519505,False
baseline_no_market,120,0.03,7,1.0,none,1.1,1.5,0.5740905010259918,0.6166868198307134,0.938731367936168,False
baseline_no_market,120,0.03,7,1.0,none,1.15,0.85,0.5700132523939808,0.6154776299879081,0.921987084156034,False
baseline_no_market,120,0.03,7,1.0,none,1.15,1.0,0.5700132523939808,0.6154776299879081,0.9208882877207183,False
baseline_no_market,120,0.03,7,1.0,none,1.15,1.15,0.5700132523939808,0.6154776299879081,0.9248510890453513,False
baseline_no_market,120,0.03,7,1.0,none,1.15,1.3,0.5700132523939808,0.6154776299879081,0.9310605251353657,False
baseline_no_market,120,0.03,7,1.0,none,1.15,1.5,0.5700132523939808,0.6154776299879081,0.940565761980032,False
baseline_no_market,120,0.03,7,1.0,none,1.2,0.85,0.5661070023939808,0.6148730350665055,0.9236323114450107,False
baseline_no_market,120,0.03,7,1.0,none,1.2,1.0,0.5661070023939808,0.6148730350665055,0.9227765290841524,False
baseline_no_market,120,0.03,7,1.0,none,1.2,1.15,0.5661070023939808,0.6148730350665055,0.9268233186971828,False
baseline_no_market,120,0.03,7,1.0,none,1.2,1.3,0.5661070023939808,0.6148730350665055,0.9330364644471737,False
baseline_no_market,120,0.03,7,1.0,none,1.2,1.5,0.5661070023939808,0.6148730350665055,0.9424866347052753,False
baseline_no_market,120,0.04,15,3.0,none,0.85,0.85,0.5846122606019152,0.6142684401451027,0.9469160955816326,False
baseline_no_market,120,0.04,15,3.0,none,0.85,1.0,0.5846122606019152,0.6142684401451027,0.9305109433833012,False
baseline_no_market,120,0.04,15,3.0,none,0.85,1.15,0.5846122606019152,0.6142684401451027,0.9245903459868039,False
baseline_no_market,120,0.04,15,3.0,none,0.85,1.3,0.5846122606019152,0.6142684401451027,0.9242632823321406,False
baseline_no_market,120,0.04,15,3.0,none,0.85,1.5,0.5846122606019152,0.6142684401451027,0.9282747783707903,False
baseline_no_market,120,0.04,15,3.0,none,0.95,0.85,0.585296255129959,0.6166868198307134,0.9425027872891723,False
baseline_no_market,120,0.04,15,3.0,none,0.95,1.0,0.585296255129959,0.6166868198307134,0.9286246027269333,False
baseline_no_market,120,0.04,15,3.0,none,0.95,1.15,0.585296255129959,0.6166868198307134,0.9242637558616148,False
baseline_no_market,120,0.04,15,3.0,none,0.95,1.3,0.585296255129959,0.6166868198307134,0.9249319948960679,False
baseline_no_market,120,0.04,15,3.0,none,0.95,1.5,0.585296255129959,0.6166868198307134,0.9297544700995998,False
baseline_no_market,120,0.04,15,3.0,none,1.0,0.85,0.5847832592339262,0.6148730350665055,0.9413117023082397,False
baseline_no_market,120,0.04,15,3.0,none,1.0,1.0,0.5847832592339262,0.6148730350665055,0.9284089672423068,False
baseline_no_market,120,0.04,15,3.0,none,1.0,1.15,0.5847832592339262,0.6148730350665055,0.9246343239201054,False
baseline_no_market,120,0.04,15,3.0,none,1.0,1.3,0.5847832592339262,0.6148730350665055,0.9256649007330149,False
baseline_no_market,120,0.04,15,3.0,none,1.0,1.5,0.5847832592339262,0.6148730350665055,0.9307689744396855,False
baseline_no_market,120,0.04,15,3.0,none,1.05,0.85,0.581219006497948,0.6154776299879081,0.940694367357962,False
baseline_no_market,120,0.04,15,3.0,none,1.05,1.0,0.581219006497948,0.6154776299879081,0.9286005426650307,False
baseline_no_market,120,0.04,15,3.0,none,1.05,1.15,0.581219006497948,0.6154776299879081,0.9253011367321682,False
baseline_no_market,120,0.04,15,3.0,none,1.05,1.3,0.581219006497948,0.6154776299879081,0.9266170662930928,False
baseline_no_market,120,0.04,15,3.0,none,1.05,1.5,0.581219006497948,0.6154776299879081,0.9319327111833222,False
baseline_no_market,120,0.04,15,3.0,none,1.1,0.85,0.5886895092339262,0.6154776299879081,0.9405870768114887,False
baseline_no_market,120,0.04,15,3.0,none,1.1,1.0,0.5886895092339262,0.6154776299879081,0.9291517268702446,False
baseline_no_market,120,0.04,15,3.0,none,1.1,1.15,0.5886895092339262,0.6154776299879081,0.9262279333536951,False
baseline_no_market,120,0.04,15,3.0,none,1.1,1.3,0.5886895092339262,0.6154776299879081,0.9277604283864305,False
baseline_no_market,120,0.04,15,3.0,none,1.1,1.5,0.5886895092339262,0.6154776299879081,0.9332253539533959,False
baseline_no_market,120,0.04,15,3.0,none,1.15,0.85,0.5801930147058824,0.6118500604594922,0.9409348032562969,False
baseline_no_market,120,0.04,15,3.0,none,1.15,1.0,0.5801930147058824,0.6118500604594922,0.9300216532098076,False
