xg_strength,total_goal_strength,dixon_coles_rho,statsbomb_window,goal_profile_weight,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,selected
0.5,0.5,-0.12,5,0.2,64.0,1.0504353297816689,0.6145647287779582,0.5625,0.5625,0.0,3.0,13.0,0.546875,0.07692307692307693,0.3333333333333333,0.6666666666666666,False
0.5,0.25,-0.08,5,0.35,64.0,1.0508311948114908,0.614986375872924,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.75,0.5,0.0,5,0.2,64.0,1.051016869814032,0.6186352340398499,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.25,-0.12,5,0.2,64.0,1.0518025784361862,0.6150228684946388,0.5625,0.5625,0.0,4.0,13.0,0.546875,0.07692307692307693,0.25,0.6666666666666666,False
0.5,0.5,-0.08,3,0.35,64.0,1.0518249906097965,0.6161983482652366,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.75,0.25,0.0,5,0.2,64.0,1.052011902975583,0.6188173961379816,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.25,-0.08,3,0.35,64.0,1.0520244669001444,0.6159081827705002,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.5,0.0,-0.08,5,0.35,64.0,1.0522018247173393,0.6154393689905462,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.5,0.0,-0.08,3,0.35,64.0,1.052425077629096,0.6157241262021075,0.5625,0.5625,0.0,1.0,13.0,0.578125,0.07692307692307693,1.0,0.7058823529411765,False
0.5,0.5,-0.12,3,0.2,64.0,1.0526071026103268,0.6162023333630546,0.5625,0.5625,0.0,3.0,13.0,0.546875,0.07692307692307693,0.3333333333333333,0.6666666666666666,False
0.5,0.25,-0.12,3,0.2,64.0,1.0529868702843836,0.6160113015497599,0.5625,0.5625,0.0,4.0,13.0,0.546875,0.07692307692307693,0.25,0.6666666666666666,False
0.75,0.0,0.0,5,0.2,64.0,1.0532183219728963,0.6191245842853021,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.0,-0.12,5,0.2,64.0,1.0533243490279856,0.6155962182487797,0.5625,0.5625,0.0,5.0,13.0,0.53125,0.07692307692307693,0.2,0.6470588235294118,False
0.75,0.25,0.0,3,0.2,64.0,1.0534751027289007,0.6198221523988923,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.75,0.5,0.0,3,0.2,64.0,1.0534870189906933,0.6202206706469909,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,-0.12,3,0.2,64.0,1.053547121272331,0.6159292926508529,0.5625,0.5625,0.0,5.0,13.0,0.53125,0.07692307692307693,0.2,0.6470588235294118,False
0.75,0.0,0.0,3,0.2,64.0,1.0537064521137085,0.6195351725008006,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
